Week #,Snapshot (UTC date),Claim opens (UTC date),Tranche (IDIOT),Cumulative (IDIOT)
1,2025-10-07,2025-10-09,2403846,2403846
2,2025-10-14,2025-10-16,2403846,4807692
3,2025-10-21,2025-10-23,2403846,7211538
4,2025-10-28,2025-10-30,2403846,9615384
5,2025-11-04,2025-11-06,2403846,12019230
6,2025-11-11,2025-11-13,2403846,14423076
7,2025-11-18,2025-11-20,2403846,16826922
8,2025-11-25,2025-11-27,2403846,19230768
9,2025-12-02,2025-12-04,2403846,21634614
10,2025-12-09,2025-12-11,2403846,24038460
11,2025-12-16,2025-12-18,2403846,26442306
12,2025-12-23,2025-12-25,2403846,28846152
13,2025-12-30,2026-01-01,2403846,31249998
14,2026-01-06,2026-01-08,2403846,33653844
15,2026-01-13,2026-01-15,2403846,36057690
16,2026-01-20,2026-01-22,2403846,38461536
17,2026-01-27,2026-01-29,2403846,40865382
18,2026-02-03,2026-02-05,2403846,43269228
19,2026-02-10,2026-02-12,2403846,45673074
20,2026-02-17,2026-02-19,2403846,48076920
21,2026-02-24,2026-02-26,2403846,50480766
22,2026-03-03,2026-03-05,2403846,52884612
23,2026-03-10,2026-03-12,2403846,55288458
24,2026-03-17,2026-03-19,2403846,57692304
25,2026-03-24,2026-03-26,2403846,60096150
26,2026-03-31,2026-04-02,2403846,62499996
27,2026-04-07,2026-04-09,2403846,64903842
28,2026-04-14,2026-04-16,2403846,67307688
29,2026-04-21,2026-04-23,2403846,69711534
30,2026-04-28,2026-04-30,2403846,72115380
31,2026-05-05,2026-05-07,2403846,74519226
32,2026-05-12,2026-05-14,2403846,76923072
33,2026-05-19,2026-05-21,2403846,79326918
34,2026-05-26,2026-05-28,2403846,81730764
35,2026-06-02,2026-06-04,2403846,84134610
36,2026-06-09,2026-06-11,2403846,86538456
37,2026-06-16,2026-06-18,2403846,88942302
38,2026-06-23,2026-06-25,2403846,91346148
39,2026-06-30,2026-07-02,2403846,93749994
40,2026-07-07,2026-07-09,2403846,96153840
41,2026-07-14,2026-07-16,2403846,98557686
42,2026-07-21,2026-07-23,2403846,100961532
43,2026-07-28,2026-07-30,2403846,103365378
44,2026-08-04,2026-08-06,2403846,105769224
45,2026-08-11,2026-08-13,2403846,108173070
46,2026-08-18,2026-08-20,2403846,110576916
47,2026-08-25,2026-08-27,2403846,112980762
48,2026-09-01,2026-09-03,2403846,115384608
49,2026-09-08,2026-09-10,2403846,117788454
50,2026-09-15,2026-09-17,2403846,120192300
51,2026-09-22,2026-09-24,2403846,122596146
52,2026-09-29,2026-10-01,2403846,124999992
53,2026-10-06,2026-10-08,2403846,127403838
54,2026-10-13,2026-10-15,2403846,129807684
55,2026-10-20,2026-10-22,2403846,132211530
56,2026-10-27,2026-10-29,2403846,134615376
57,2026-11-03,2026-11-05,2403846,137019222
58,2026-11-10,2026-11-12,2403846,139423068
59,2026-11-17,2026-11-19,2403846,141826914
60,2026-11-24,2026-11-26,2403846,144230760
61,2026-12-01,2026-12-03,2403846,146634606
62,2026-12-08,2026-12-10,2403846,149038452
63,2026-12-15,2026-12-17,2403846,151442298
64,2026-12-22,2026-12-24,2403846,153846144
65,2026-12-29,2026-12-31,2403846,156249990
66,2027-01-05,2027-01-07,2403846,158653836
67,2027-01-12,2027-01-14,2403846,161057682
68,2027-01-19,2027-01-21,2403846,163461528
69,2027-01-26,2027-01-28,2403846,165865374
70,2027-02-02,2027-02-04,2403846,168269220
71,2027-02-09,2027-02-11,2403846,170673066
72,2027-02-16,2027-02-18,2403846,173076912
73,2027-02-23,2027-02-25,2403846,175480758
74,2027-03-02,2027-03-04,2403846,177884604
75,2027-03-09,2027-03-11,2403846,180288450
76,2027-03-16,2027-03-18,2403846,182692296
77,2027-03-23,2027-03-25,2403846,185096142
78,2027-03-30,2027-04-01,2403846,187499988
79,2027-04-06,2027-04-08,2403846,189903834
80,2027-04-13,2027-04-15,2403846,192307680
81,2027-04-20,2027-04-22,2403846,194711526
82,2027-04-27,2027-04-29,2403846,197115372
83,2027-05-04,2027-05-06,2403846,199519218
84,2027-05-11,2027-05-13,2403846,201923064
85,2027-05-18,2027-05-20,2403846,204326910
86,2027-05-25,2027-05-27,2403846,206730756
87,2027-06-01,2027-06-03,2403846,209134602
88,2027-06-08,2027-06-10,2403846,211538448
89,2027-06-15,2027-06-17,2403846,213942294
90,2027-06-22,2027-06-24,2403846,216346140
91,2027-06-29,2027-07-01,2403846,218749986
92,2027-07-06,2027-07-08,2403846,221153832
93,2027-07-13,2027-07-15,2403846,223557678
94,2027-07-20,2027-07-22,2403846,225961524
95,2027-07-27,2027-07-29,2403846,228365370
96,2027-08-03,2027-08-05,2403846,230769216
97,2027-08-10,2027-08-12,2403846,233173062
98,2027-08-17,2027-08-19,2403846,235576908
99,2027-08-24,2027-08-26,2403846,237980754
100,2027-08-31,2027-09-02,2403846,240384600
101,2027-09-07,2027-09-09,2403846,242788446
102,2027-09-14,2027-09-16,2403846,245192292
103,2027-09-21,2027-09-23,2403846,247596138
104,2027-09-28,2027-09-30,2403862,250000000
